2
OIII
DUMMY
15 7 0
2P2  3P0
2P2  3P1
2P2  3P2
2P2  1D
2P2  1S
2P3  5S2
2P3  3DO3
2P3  3DO2
2P3  3DO1
2P3  3PO2
2P3  3PO1
2P3  3PO0
2P3  1DO2
2P3  3SO1
2P3  1PO1
5000
7500
10000
12500
15000
17500
20000
0
 3 4 1.96-2
 3 5 7.85-4
 3 6 5.22+2
 3 7 6.01+8
 3 8 1.45+8
 3 9 1.57+7
3 10 1.36+9
3 11 7.48+8
3 12 0.0
3 13 2.72+5
3 14 7.98+9
3 15 1.8+5
 4 5 1.78
 4 6 0.0
 4 7 1.89+4
 4 8 3.79+3
 4 9 2.21+3
4 10 6.73+3
4 11 2.72+4
4 12 0.0
4 13 5.42+9
4 14 2.84+5
4 15 9.32+9
 5 6 0.0
 5 7 0.0
 5 8 0.0
 5 9 1.69+3
5 10 0.0
5 11 8.93+3
5 12 0.0
5 13 0.0
5 14 6.67+4
5 15 1.55+9
6 7 0.0
6 8 0.0
6 9 0.0
6 10 0.0
6 11 0.0
6 12 0.0
6 13 0.0
6 14 0.0
6 15 0.0
7 8 0.0
7 9 0.0
7 10 0.0
7 11 0.0
7 12 0.0
7 13 0.0
7 14 0.0
7 15 0.0
8 9 0.0
8 10 0.0
8 11 0.0
8 12 0.0
8 13 0.0
8 14 0.0
8 15 0.0
9 10 0.0
9 11 0.0
9 12 0.0
9 13 0.0
9 14 0.0
9 15 0.0
10 11 0.0
10 12 0.0
10 13 0.0
10 14 0.0
10 15 0.0
11 12 0.0
11 13 0.0
11 14 0.0
11 15 0.0
12 13 0.0
12 14 0.0
12 15 0.0
13 14 0.0
13 15 0.0
14 15 0.0
 1 1 0.0
 2 3 113.4
 3 5 306.8
 4 5 20063.
 5 1 42975
 6 5 60104
 7 7 119833
 8 5 119860.2
 9 3 119866.1
10 5 142176
11 3 142177.1
12 1 142191.2
13 5 186841
14 3 196878
15 3 210250
