12
C II upsilions from Blum and Pradhan (ApJSuppl,80,425,1992)
   Note:  The first set is for the LS multiplet collision strengths
   averaged over a maxwellian. The second set, for the individual fine
   structure transtions (as in Blum and Pradhan, Ap. J. Suppl., v. 80,
   425,1992) follows. These data supercede the work by Luo and Pradhan
   (1990).                                                --  Anil Pradhan
 A values for allowed transitions and those between levels 1 - 5 taken 
   from old CII data (Nussbaumer & Storey, 1981, Astron. Astrophys.,96,91).
 NB A values for all other forbidden transitions set to zero. This is prob.
   OK for all levels where the allowed transitions dominate level de-pop. 
Elevs from NIST database (Moore,C.E. (Ed. J.W.Gallagher) CRC Tables of 
   Spectra, 1993)                                              CJP 18-3-96    
10 28 2
2s22p 2P1/2
2s22p 2P3/2
2s22p 4P1/2
2s22p 4P3/2
2s22p 4P5/2
2s22p 2D3/2
2s22p 2D5/2
2s22p 2S1/2
2s22p 2P1/2
2s22p 2P3/2
1000
2000
3000
4000
5000
6000
7000
8000
9000
10000
11000
12000
13000
14000
15000
16000
18000
20000
22000
24000
26000
28000
30000
32000
34000
36000
38000
40000
 0
45
    1    2     9.4030E-01 1.6361E+00 1.7157E+00 1.8034E+00 1.8874E+00 1.9615E+00
               2.0240E+00 2.0756E+00 2.1177E+00 2.1519E+00 2.1796E+00 2.2021E+00
               2.2203E+00 2.2349E+00 2.2467E+00 2.2562E+00 2.2696E+00 2.2776E+00
               2.2816E+00 2.2829E+00 2.2820E+00 2.2795E+00 2.2758E+00 2.2711E+00
               2.2657E+00 2.2596E+00 2.2530E+00 2.2460E+00
    1    3     8.5110E-01 2.5770E-01 2.5070E-01 2.4590E-01 2.4300E-01 2.4160E-01
               2.4120E-01 2.4130E-01 2.4180E-01 2.4250E-01 2.4320E-01 2.4390E-01
               2.4460E-01 2.4530E-01 2.4590E-01 2.4640E-01 2.4710E-01 2.4750E-01
               2.4760E-01 2.4750E-01 2.4720E-01 2.4660E-01 2.4600E-01 2.4520E-01
               2.4430E-01 2.4330E-01 2.4230E-01 2.4120E-01
    1    4     2.5600E-01 3.8210E-01 3.7190E-01 3.6500E-01 3.6100E-01 3.5930E-01
               3.5900E-01 3.5950E-01 3.6050E-01 3.6180E-01 3.6310E-01 3.6450E-01
               3.6570E-01 3.6680E-01 3.6780E-01 3.6870E-01 3.7000E-01 3.7070E-01
               3.7100E-01 3.7080E-01 3.7040E-01 3.6960E-01 3.6860E-01 3.6740E-01
               3.6600E-01 3.6460E-01 3.6300E-01 3.6140E-01
    1    5     8.8094E+00 2.3970E-01 2.3400E-01 2.3040E-01 2.2900E-01 2.2910E-01
               2.3000E-01 2.3150E-01 2.3320E-01 2.3490E-01 2.3660E-01 2.3820E-01
               2.3960E-01 2.4080E-01 2.4190E-01 2.4290E-01 2.4430E-01 2.4530E-01
               2.4570E-01 2.4580E-01 2.4560E-01 2.4520E-01 2.4450E-01 2.4370E-01
               2.4280E-01 2.4180E-01 2.4070E-01 2.3950E-01
    1    6     1.3641E+00 1.2879E+00 1.2975E+00 1.3094E+00 1.3228E+00 1.3372E+00
               1.3520E+00 1.3669E+00 1.3816E+00 1.3961E+00 1.4102E+00 1.4240E+00
               1.4373E+00 1.4502E+00 1.4628E+00 1.4749E+00 1.4983E+00 1.5204E+00
               1.5414E+00 1.5615E+00 1.5808E+00 1.5993E+00 1.6171E+00 1.6343E+00
               1.6510E+00 1.6670E+00 1.6826E+00 1.6976E+00
    1    7     5.2060E-01 5.1360E-01 5.1220E-01 5.1450E-01 5.1870E-01 5.2380E-01
               5.2900E-01 5.3410E-01 5.3880E-01 5.4310E-01 5.4680E-01 5.5010E-01
               5.5280E-01 5.5510E-01 5.5700E-01 5.5850E-01 5.6050E-01 5.6150E-01
               5.6160E-01 5.6100E-01 5.6000E-01 5.5860E-01 5.5690E-01 5.5500E-01
               5.5300E-01 5.5090E-01 5.4870E-01 5.4640E-01
    1    8     7.9150E-01 7.1460E-01 6.9150E-01 6.8440E-01 6.8300E-01 6.8370E-01
               6.8530E-01 6.8730E-01 6.8950E-01 6.9180E-01 6.9420E-01 6.9660E-01
               6.9910E-01 7.0180E-01 7.0450E-01 7.0720E-01 7.1300E-01 7.1910E-01
               7.2540E-01 7.3200E-01 7.3870E-01 7.4560E-01 7.5260E-01 7.5970E-01
               7.6680E-01 7.7400E-01 7.8120E-01 7.8840E-01
    1    9     1.1607E+00 1.1782E+00 1.1968E+00 1.2157E+00 1.2346E+00 1.2533E+00
               1.2716E+00 1.2896E+00 1.3073E+00 1.3246E+00 1.3416E+00 1.3582E+00
               1.3746E+00 1.3906E+00 1.4063E+00 1.4218E+00 1.4518E+00 1.4807E+00
               1.5087E+00 1.5358E+00 1.5621E+00 1.5876E+00 1.6123E+00 1.6364E+00
               1.6598E+00 1.6826E+00 1.7048E+00 1.7263E+00
    1   10     6.6890E-01 6.8000E-01 6.9160E-01 7.0290E-01 7.1380E-01 7.2440E-01
               7.3470E-01 7.4480E-01 7.5460E-01 7.6420E-01 7.7360E-01 7.8270E-01
               7.9170E-01 8.0050E-01 8.0920E-01 8.1760E-01 8.3390E-01 8.4960E-01
               8.6470E-01 8.7920E-01 8.9320E-01 9.0670E-01 9.1970E-01 9.3230E-01
               9.4460E-01 9.5650E-01 9.6790E-01 9.7910E-01
    2    3     7.7900E-02 1.8200E-01 1.7760E-01 1.7480E-01 1.7350E-01 1.7340E-01
               1.7390E-01 1.7490E-01 1.7600E-01 1.7710E-01 1.7830E-01 1.7930E-01
               1.8030E-01 1.8120E-01 1.8200E-01 1.8260E-01 1.8360E-01 1.8420E-01
               1.8450E-01 1.8460E-01 1.8440E-01 1.8410E-01 1.8360E-01 1.8300E-01
