2
C III
 DATA AVAILABLE FOR T=63095,79434 ONLY
   10    2 0
2S2  1S
2S2P 3PO0
2S2P 3PO1
2S2P 3PO2
2P2  1P
2P2  3P0
2P2  3P1
2P2  3P2
2P2  1D
2P2  1S
63095.
79434.
0
    1    2    1.08
              1.17
    1    3    3.24
              3.52
    1    4    5.40
              5.86
    1    5    14.9
              21.9
    1    6    2.16-3
              3.68-3
    1    7    6.47-3
              1.10-2
    1    8    1.08-2
              1.84-2
    1    9    0.463
              0.799
    1   10    2.20-2
              4.75-2
    2    3    39.0
              34.0
    2    4    45.9
              42.6
    2    5    1.04
              1.09
    2    6    0.202
              0.263
    2    7    10.3
              14.1
    2    8    0.390
              0.505
    2    9    0.186
              0.249
    2   10    7.83-3
              1.23-2
    3    4    49.6
              45.2
    3    5    1.04
              1.09
    3    6    3.51
              4.81
    3    7    2.91
              3.95
    3    8    4.46
              6.07
    3    9    0.186
              0.249
    3   10    7.83-3
              1.23-2
    4    5    1.04
              1.09
    4    6    7.82-2
              0.101
    4    7    2.81
              3.84
    4    8    8.02
              10.9
    4    9    0.186
              0.249
    4   10    7.83-3
              1.23-2
    5    6    0.568
              0.564
    5    7    1.703
              1.693
    5    8    2.839
              2.822
    5    9    45.6
              49.1
    5   10    6.65
              8.67
    6    7    22.8
              19.7
    6    8    13.2
              11.6
    6    9    3.60
              3.22
    6   10    0.150
              0.157
    7    8    19.4
              16.9
    7    9    3.60
              3.22
    7   10    0.150
              0.157
    8    9    3.60
              3.22
    8   10    0.150
              0.157
    9   10    1.93
              2.06
 0 0 0
    1    2    0.00
    1    3   9.592+1
    1    4   5.188-3
    1    5   1.788+9
    1    6   0.00
    1    7   9.230-4
    1    8   3.830-2
    1    9   2.370+3
    1   10   0.00
    2    3   2.390-7
    2    4   0.00
    2    5   1.450-3
    2    6   0.00
    2    7   4.443+8
    2    8   0.00
    2    9   0.00
    2   10   0.00
    3    4   2.410-6
    3    5   1.090-3
    3    6   1.330+9
    3    7   3.329+8
    3    8   3.336+8
    3    9   4.608+3
    3   10   2.037+3
    4    5   1.810-3
    4    6   0.00
    4    7   5.537+8
    4    8   9.985+8
    4    9   2.927+4
    4   10   0.00
    5    6   2.439+2
    5    7   1.512+1
    5    8   1.318+3
    5    9   1.407+8
    5   10   2.114+9
    6    7   0.00
    6    8   0.00
    6    9   0.00
    6   10   0.00
    7    8   0.00
    7    9   0.00
    7   10   0.00
    8    9   0.00
    8   10   0.00
    9   10   4.340+1
    1    1   0.00
    2    1  52367.06
    3    3  52390.75
    4    5  52447.11
    5    3 102352.04
    6    1 137425.70
    7    3 137454.40
    8    5 137502.01
    9    5 145876.13
   10    1 182519.88

  
