

           feiii               
           T =   10000., LOG T =  4.000
           D = 1.00E+03, LOG D =  3.000
 POPULATIONS:
    1     3d6 5de4            9.3074E-01
   10 19          9472.39    6.929E-07    1.109E+00
   10 22          9446.80    9.574E-05    1.533E+02
   10 25          4425.54    1.547E-06    2.476E+00
   11 15         24528.44    1.067E-04    1.708E+02
   11 16         22426.55    7.407E-04    1.186E+03
   11 17         21540.12    1.645E-04    2.635E+02
   11 18         10127.30    1.455E-09    2.329E-03
   11 19          9637.72    1.794E-06    2.872E+00
   11 20          9771.06    2.568E-08    4.112E-02
   11 22          9611.23    8.258E-05    1.322E+02
   11 24          6526.65    1.417E-08    2.269E-02
   11 25          4461.30    8.599E-07    1.377E+00
   12 15         32293.48    1.543E-04    2.470E+02
   12 16         28746.37    1.020E-04    1.632E+02
   12 17         27305.99    1.140E-05    1.825E+01
   12 18         11243.53    1.605E-08    2.569E-02
   12 19         10643.28    3.314E-05    5.306E+01
   12 20         10806.14    2.468E-06    3.952E+00
   12 22         10610.98    4.383E-05    7.018E+01
   12 24          6972.77    2.559E-10    4.097E-04
   12 25          4665.33    1.097E-06    1.757E+00
   13 15         34978.49    4.718E-09    7.554E-03
   13 16         30854.67    1.340E-08    2.146E-02
   13 17         29201.34    5.263E-05    8.426E+01
   13 19         10919.53    1.949E-05    3.120E+01
   13 20         11091.02    6.440E-06    1.031E+01
   13 21         11079.23    1.079E-06    1.728E+00
   13 22         10885.54    3.347E-05    5.359E+01
   13 24          7090.29    2.082E-05    3.333E+01
   13 25          4717.65    7.108E-07    1.138E+00
   14 16         32428.58    4.217E-09    6.751E-03
   14 17         30607.25    3.138E-05    5.025E+01
   14 19         11110.37    4.112E-06    6.583E+00
   14 20         11287.96    5.504E-06    8.812E+00
   14 21         11275.74    4.400E-06    7.045E+00
   14 22         11075.18    3.433E-11    5.497E-05
   14 23          7718.91    4.664E-12    7.467E-06
   14 24          7170.26    1.125E-05    1.802E+01
   14 25          4752.92    7.491E-07    1.199E+00
   15 16        261711.59    2.010E-06    3.218E+00
   15 18         17249.11    5.794E-07    9.277E-01
   15 19         15875.54    1.176E-06    1.884E+00
   15 22         15803.78    5.045E-09    8.078E-03
   15 25          5453.13    8.224E-08    1.317E-01
   16 17        544959.13    4.776E-08    7.648E-02
   16 18         18466.20    1.051E-11    1.682E-05
   16 19         16900.74    1.813E-07    2.903E-01
   16 20         17315.12    3.568E-07    5.712E-01
   16 22         16819.44    1.879E-10    3.008E-04
   16 24          9205.73    7.838E-09    1.255E-02
   16 25          5569.17    2.676E-05    4.285E+01
   17 19         17441.66    1.840E-07    2.946E-01
   17 20         17883.33    9.627E-08    1.541E-01
   17 21         17852.68    1.296E-07    2.076E-01
   17 22         17355.09    3.871E-08    6.198E-02
   17 24          9363.91    8.406E-08    1.346E-01
   17 25          5626.67    1.312E-05    2.101E+01
   19 24         20218.77    1.463E-06    2.343E+00
   19 25          8306.27    8.905E-06    1.426E+01
   20 23         24412.87    4.216E-13    6.750E-07
   20 24         19656.02    2.826E-07    4.526E-01
   20 25          8209.71    5.311E-06    8.504E+00
   21 23         24470.22    4.292E-12    6.873E-06
   21 24         19693.18    1.549E-06    2.480E+00
   21 25          8216.18    1.931E-09    3.092E-03
   22 24         20336.36    2.732E-09    4.374E-03
   22 25          8326.05    1.104E-06    1.767E+00
   23 24        100877.64    1.131E-13    1.811E-07
   24 25         14098.01    7.899E-08    1.265E-01
